Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bélgica,BEL,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1290,1368,1457,1555,1724,1860,1983,2114,2251,2490,2766,3083,3832,4901,5734,6701,7243,8427,10290,11811,12864,10623,9344,8846,8457,8751,12170,15136,16391,16525,20600,21042,23373,22284,24209,28414,27490,24821,25338,25253,23099,23015,25006,30655,35429,36810,38705,44319,48303,44923,44197,47761,44874,46965,47996,40894,41855,44035,47487,46717,45906,51656,50807,54701
Alemania,DEU,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1162,1316,1431,1502,1637,1774,1871,1886,2025,2281,2771,3204,3824,5065,5660,6259,6659,7711,9517,11322,12183,10246,9950,9900,9347,9464,13511,16739,17997,17829,22386,23443,26560,25617,27202,31747,30600,27047,27396,26965,23926,23878,25487,30711,34567,35084,36980,42351,46386,42487,42410,47647,44736,47220,48971,41911,42961,45527,48875,47624,47380,52266,49686,54343
Canadá,CAN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,2265,2246,2274,2380,2562,2777,3055,3226,3473,3776,4136,4535,5107,5858,7057,7537,8839,8949,9154,10078,11208,12379,12527,13477,13930,14170,14521,16378,19013,20795,21526,21847,20950,20187,19998,20680,21297,21902,21025,22315,24271,23822,24256,28302,32146,36384,40504,44660,46710,40875,47561,52224,52670,52638,50961,43594,42314,45130,46539,46353,43538,52497,55509,53431
Finlandia,FIN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1192,1341,1427,1538,1726,1902,2032,2056,1927,2201,2466,2716,3178,4174,5298,6256,6740,7070,7629,9333,11225,10925,10935,10494,10830,11394,14947,18565,22044,23969,28366,25489,22320,17589,20278,26246,25757,24682,26000,26180,24336,24965,26989,32920,37768,39050,41214,48473,53769,47478,46506,51060,47552,49691,50074,42560,43451,46085,49654,48358,48829,53099,50438,52926
Israel,ISR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1450,1694,1291,1484,1623,1686,1786,1732,1944,2185,2486,2294,2924,3625,5076,4664,4508,5044,4788,5961,6537,6783,7245,7946,7355,6816,8320,9836,11832,11587,13284,14320,15482,15152,16777,18991,20180,20433,20157,19782,21661,20907,19034,19629,20546,21227,22502,25636,30176,28382,31339,34434,33237,36930,38230,36124,37557,40998,42233,44141,44680,52256,54931,52642
Hong Kong,HKG,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,424,437,488,566,630,677,686,723,714,826,960,1106,1385,1893,2145,2252,2850,3429,3924,4569,5700,5991,6134,5595,6208,6543,7435,9071,10610,12098,13486,15466,17976,20396,22503,23497,24818,27330,25809,25092,25757,25230,24666,23977,24928,26650,28224,30594,31516,30698,32550,35142,36731,38404,40315,42432,43734,46160,48538,48359,46109,49771,48826,50532
Reino Unido,GBR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1398,1472,1526,1613,1748,1874,1987,2059,1952,2101,2348,2650,3030,3426,3666,4300,4138,4681,5977,7805,10032,9599,9146,8692,8179,8652,10611,13119,15987,16239,19095,19901,20487,18389,19709,23169,24406,26766,28275,28762,28281,27907,30078,34443,40367,42105,44512,50398,47396,38744,39599,42110,42497,43426,47440,44964,40985,40572,43204,42663,40202,46897,45936,49464
Emiratos Árabes Unidos,ARE,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,2394,2805,3675,9696,23823,27117,31197,35020,29379,34238,42925,44854,39972,34650,32012,29468,23132,23113,21570,23167,26710,25691,25648,25033,25473,27003,28323,27983,24889,25856,29866,27745,27754,29660,33377,38719,44343,45855,50054,37803,43697,50789,52034,52024,51381,43535,41326,42341,45690,44251,37174,43360,49899,49041
Nueva Zelandia,NZL,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,2334,2365,2471,2646,2839,2171,2211,2208,1902,2097,2311,2773,3295,4323,4611,4172,4374,4951,5937,6668,7467,7814,7656,7598,6714,7601,9428,12331,13759,13312,13663,12230,11793,13094,15280,17400,18794,17474,14738,15322,13641,13883,16874,21914,25420,27751,26655,32480,31253,28209,33677,38389,39974,42977,44578,38639,40071,42913,43229,42747,41786,49624,48217,48281
Andorra,AND,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,3935,4170,4940,6151,7140,7925,7721,8168,9410,11996,12475,10465,9698,8082,7808,7912,10539,12828,14599,15715,19564,19533,20100,15917,15749,18443,19130,18248,18537,18875,21810,23511,26528,34064,39021,40830,43467,48336,49133,43975,42747,46657,41501,42470,44370,38655,40130,40673,42820,41258,37361,42426,42414,46812
