Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulgaria,BGR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2239,2235,2169,1853,1964,1915,2260,3132,2511,2477,2367,1268,1212,1279,1148,2259,1470,1361,1820,1660,1621,1771,2093,2719,3390,3900,4523,5889,7271,6988,6864,7857,7431,7688,7912,7079,7571,8382,9436,9839,10199,12274,13644,15886
Argentina,ARG,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,1160,853,1176,1282,1275,1064,1142,1330,1323,1373,1409,2098,2845,2027,1947,2126,3282,2512,2748,2764,2915,3538,3915,2906,3436,3477,3993,2375,4315,5709,6790,6932,7438,7358,7663,8147,8219,7706,7637,7141,2570,3320,4242,5068,5869,7185,8944,8150,10260,12704,12950,12964,12233,13680,12700,14533,11753,9956,8536,10738,13936,14187
Federación de Rusia,RUS,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3778,3430,3494,3490,3099,2931,2662,2666,2644,2738,1835,1331,1772,2100,2378,2975,4102,5323,6920,9101,11635,8563,10675,14305,15402,15941,14055,9278,8663,10659,11212,11448,10108,12522,15445,13817
México,MEX,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,355,374,388,420,481,506,545,576,616,660,699,748,837,993,1256,1492,1465,1315,1604,2049,3055,3829,2621,2170,2506,2602,1757,1888,2279,2725,3154,3709,4221,6048,6202,4184,4674,5567,5833,6500,7524,7953,7983,7434,7850,8672,9513,10134,10524,8424,9729,10664,10744,11217,11391,10021,9098,9649,10085,10370,8841,10314,11385,13790
Santa Lucía,LCA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,1428,1605,1489,1576,1979,2202,2591,2819,3182,3565,4205,4399,4760,4765,4892,5148,5244,5282,5673,5883,5880,5570,5568,6059,6495,6863,7611,7964,8517,8251,8674,9129,9260,9576,10045,10335,10638,11333,11643,11794,8411,10459,13104,13555
Mundo,WLD,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,454,472,497,524,563,601,638,663,702,760,816,883,1000,1199,1359,1485,1586,1762,2049,2329,2580,2621,2547,2554,2607,2683,3108,3475,3814,3915,4338,4438,4662,4665,4945,5430,5473,5375,5289,5387,5494,5388,5522,6113,6800,7271,7780,8658,9393,8793,9515,10454,10550,10719,10881,10142,10188,10732,11289,11335,10917,12353,12737,13170
Turquía,TUR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,267,274,298,337,354,370,425,459,501,544,488,431,537,661,881,1122,1228,1372,1510,2013,1516,1537,1360,1276,1209,1326,1461,1650,1686,1949,2690,2649,2744,3058,2176,2775,2929,3021,4330,3969,4192,3046,3583,4638,5961,7303,7953,9711,10844,9013,10623,11301,11713,12578,12165,11050,10970,10696,9569,9215,8639,9743,10675,13106
Nauru,NRU,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,2619,2811,3191,3864,5199,5740,5703,5646,5721,5950,6138,6594,6577,5896,5654,4859,4569,4485,5012,5723,5776,5333,5103,4310,3921,3932,3679,3661,2909,2683,2649,2232,2085,2463,3041,2992,2910,2272,3757,4411,4736,6481,9817,8975,9193,7703,8724,9613,11409,10777,10696,14990,13287,12983
Kazajstán,KAZ,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570,1442,1438,1355,1247,1218,1281,1382,1415,1092,1180,1422,1574,1958,2722,3577,5030,6449,8124,6938,8793,11287,12019,13478,12428,10196,7476,8943,9472,9457,8782,9984,11255,12919
China,CHN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,90,76,71,74,85,98,104,97,91,100,113,119,132,157,160,178,165,185,156,184,195,197,203,225,251,294,282,252,284,311,318,333,366,377,473,610,709,782,829,873,959,1053,1149,1289,1509,1753,2099,2694,3468,3832,4550,5614,6301,7020,7636,8016,8094,8817,9905,10144,10409,12618,12663,12614
Maldivas,MDV,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,157,170,192,229,281,171,152,137,156,240,258,264,275,323,594,669,720,692,799,870,957,1054,1194,1317,1419,1555,1717,1898,1980,2124,2214,3034,3076,3549,4070,3797,5019,5758,6757,6734,7174,7425,7461,8236,8939,9645,9948,10510,11423,11740,7394,10176,11786,12530
Serbia,SRB,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2349,3054,3574,2775,2769,975,1812,2391,3154,3597,3808,4493,6081,7377,6414,5971,7082,6263,7040,6887,5820,5982,6548,7560,7756,8099,9681,10023,12282
Montenegro,MNE,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1406,1368,1627,1910,2107,2789,3380,3675,4426,5976,7368,6727,6688,7329,6586,7189,7388,6517,7033,7803,8850,8910,7677,9466,10093,12221
Mauricio,MUS,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,240,282,282,353,297,305,296,304,259,273,271,300,374,467,763,755,787,906,1102,1292,1187,1181,1101,1103,1042,1069,1442,1840,2074,2103,2540,2705,3013,3014,3240,3648,3952,3696,3642,3746,3982,3909,4073,4858,5461,5354,5696,6575,8030,7318,8000,9197,9291,9765,10366,9508,9966,10842,11643,11403,9011,9069,10240,11613
Malasia,MYS,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,241,233,239,292,303,326,339,335,342,368,380,407,472,701,848,811,940,1092,1327,1680,1886,1866,1938,2124,2300,2046,1760,1977,2100,2244,2469,2679,3141,3462,3758,4363,4837,4679,3294,3528,4084,3944,4184,4465,4939,5556,6158,7169,8372,7191,8899,10217,10601,10714,11013,9649,9477,9863,10902,10920,9958,10903,11748,11379
Granada,GRD,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,737,917,1071,1173,1230,1329,1388,1524,1745,1938,2205,2404,2697,2782,2984,3053,3026,3152,3294,3508,3725,4206,4516,4840,4820,4984,5428,5480,6339,6344,6865,7448,6933,6910,6947,7093,7425,7986,8694,9221,9751,10083,10463,8969,9622,10474,11246
República Dominicana,DOM,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,206,194,237,262,277,233,251,256,260,288,338,368,427,490,595,713,763,863,868,984,1180,1288,1376,1500,1844,784,932,868,784,955,989,1346,1558,1722,1892,2109,2271,2449,2608,2621,2831,2936,3066,2383,2452,3878,4055,4650,5027,4978,5485,5835,6026,6149,6513,6820,7175,7500,7935,8164,7162,8472,10110,10718
San Vicente,VCT,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,155,163,167,155,164,166,175,170,163,175,192,207,282,306,331,331,324,484,592,687,790,972,1074,1144,1254,1342,1472,1596,1814,1930,2150,2271,2471,2540,2563,2795,2930,3074,3301,3447,3769,4071,4303,4500,4873,5157,5745,6398,6599,6464,6552,6528,6714,7072,7169,7354,7657,7988,8428,8743,8395,8481,9471,10520
Ingreso mediano alto,UMC,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,156,147,149,153,171,187,201,198,205,224,240,254,285,367,462,501,533,587,636,728,839,889,858,824,856,868,876,869,922,1004,1189,1102,1161,1263,1405,1577,1723,1814,1770,1705,1845,1828,1825,2017,2358,2779,3250,3964,4753,4678,5673,6729,7116,7491,7707,7360,7329,7977,8474,8551,8229,9770,10157,10451
Brasil,BRA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,235,232,250,294,257,268,328,351,374,399,444,500,583,815,1045,1201,1390,1562,1733,1870,1959,2080,2138,1461,1420,1556,1854,2006,2141,2819,3118,2258,2127,2349,3299,4757,5179,5299,5106,3494,3767,3176,2856,3091,3664,4828,5934,7410,8908,8679,11403,13397,12522,12459,12275,8936,8836,10081,9301,9030,7074,7973,9281,10295
Dominica,DMA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,634,786,754,996,1125,1232,1363,1515,1666,1893,2138,2423,2639,2893,3171,3376,3536,3805,3952,4211,4372,4664,4817,4867,4982,4874,5010,5349,5299,5672,6120,6654,7102,7172,7256,7031,7148,7395,7680,8278,7614,8138,9009,7462,8263,9086,9833
Bosnia y Herzegovina,BIH,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743,1373,1118,930,337,502,719,914,1007,1135,1338,1388,1607,2034,2453,2740,3166,3931,4842,4540,4506,4983,4694,5035,5206,4662,4929,5345,6048,6122,6130,7295,7656,8639
Macedonia del Norte,MKD,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2277,2402,1199,1337,1786,2355,2307,1960,1876,1915,1862,1823,1989,2445,2819,3121,3440,4204,5026,4800,4833,5417,5050,5626,5925,5263,5598,5955,6714,6719,6660,7621,7606,8624
Albania,ALB,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,591,663,668,662,639,640,694,675,653,698,617,337,201,367,586,751,1010,717,814,1033,1127,1282,1425,1846,2374,2674,2973,3595,4371,4114,4094,4437,4248,4413,4579,3953,4124,4531,5365,5460,5371,6413,6846,8575
Georgia,GEO,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544,1844,1853,1611,1311,757,550,520,578,689,807,852,674,750,802,854,1010,1305,1643,1996,2635,3325,2823,3282,4120,4531,4712,4830,4087,4143,4419,4804,4741,4301,5084,6730,8284
Turkmenistán,TKM,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,846,821,848,832,811,788,622,592,558,565,591,546,634,756,936,1229,1379,1604,1997,2415,3606,3708,4059,5144,6054,6600,7164,5759,5687,5828,6125,6648,6593,7051,8156,8233
Armenia,ARM,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,573,356,348,391,444,487,505,590,583,593,660,743,882,1130,1557,2042,2963,3778,2821,3041,3350,3512,3680,3852,3512,3524,3869,4196,4597,4269,4685,6572,8053
Perú,PER,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,253,277,305,324,381,439,505,498,448,488,550,599,647,754,927,1104,1026,903,756,942,1045,1216,1194,927,918,767,1087,1792,733,1045,1200,1527,1567,1488,1879,2190,2227,2301,2156,1917,1945,1930,2007,2129,2397,2707,3130,3581,4198,4181,5072,5861,6519,6747,6667,6232,6217,6736,6978,7037,6133,6827,7363,7907
Belarús,BLR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,1805,1658,1590,1460,1371,1453,1397,1511,1211,1276,1244,1479,1820,2378,3126,3848,4735,6376,5352,6035,6528,6953,7998,8341,5967,5040,5786,6360,6838,6543,7490,7995,7829
Botswana,BWA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,59,62,66,69,73,80,89,101,113,132,163,212,264,374,446,493,490,565,695,909,1132,1107,1006,1121,1145,994,1200,1639,2141,2428,2903,2939,3005,2929,2917,3156,3156,3194,2981,3340,3451,3206,3117,4230,4957,5391,5292,5529,5503,5083,6216,7287,6596,6667,7122,6141,6749,7105,7408,7172,6323,7808,8329,7820
Gabón,GAB,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,276,323,348,291,400,415,443,482,515,545,543,627,693,1140,2384,3258,4441,4048,3360,4155,5718,5026,4584,4182,4273,3898,3865,3624,4119,4374,6051,5345,5386,4106,3828,4415,4943,4509,3700,3751,3983,3836,3966,4711,5466,6548,6847,8004,9689,7291,8357,10219,9297,9198,9201,7047,6677,6922,7624,7441,6606,8181,8409,7803
Belice,BLZ,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,307,320,332,342,356,383,412,426,392,402,442,481,529,619,805,906,729,866,983,1071,1774,1753,1629,1677,1814,1754,1859,2166,2406,2742,2989,3192,3646,3863,3879,4012,4046,4017,4128,4292,4730,4722,4862,4962,5156,5273,5527,5765,5713,5401,5451,5582,5710,5950,6128,6154,6142,6073,6031,6190,5227,6123,7068,7460
Tailandia,THA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,103,110,116,121,129,141,165,171,179,191,197,200,216,278,343,364,405,462,548,612,709,748,770,827,847,774,842,970,1164,1342,1559,1766,1972,2245,2518,2864,3055,2473,1848,2033,2006,1890,2090,2348,2642,2868,3331,3919,4309,4135,4974,5374,5726,6018,5801,5689,5834,6413,7100,7606,6986,7058,6909,7182
Azerbaiyán,AZE,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238,735,60,210,157,315,409,506,562,574,655,704,763,884,1045,1578,2473,3851,5574,4950,5844,7190,7496,7875,7891,5501,3881,4147,4740,4806,4230,5408,7771,7126
Colombia,COL,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,258,282,299,283,339,317,290,303,302,318,346,367,397,462,542,561,643,798,932,1095,1280,1362,1425,1384,1336,1192,1169,1193,1260,1244,1475,1500,1730,1930,2326,2583,2664,2873,2606,2244,2555,2473,2429,2312,2819,3456,3790,4770,5542,5251,6398,7401,8109,8279,8187,6249,5960,6480,6817,6473,5340,6223,6675,6947
Jamaica,JAM,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,424,447,458,480,514,549,612,633,591,642,748,809,971,972,1193,1417,1450,1569,1262,1144,1249,1370,1494,1619,1048,917,1191,1411,1632,1865,1930,1710,1458,2221,2203,2631,2929,3297,3419,3432,3453,3504,3681,3550,3808,4184,4417,4716,5030,4428,4810,5233,5341,5124,4975,5063,5010,5259,5578,5607,4879,5165,6022,6840
República de Moldova,MDA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207,1038,778,797,574,594,575,657,579,399,441,507,571,682,897,1034,1183,1531,2111,1898,2437,2941,3045,3321,3290,2750,2847,3453,4156,4405,4376,5275,5738,6729
Islas Marshall,MHL,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,373,390,416,472,602,638,672,724,771,859,868,969,1046,1199,1245,1162,1425,1543,1670,1670,1758,1811,1963,2112,2265,2491,2273,2231,2254,2258,2265,2394,2566,2539,2566,2659,2754,2892,2818,2907,3095,3319,3514,3678,3735,3764,4230,4593,4858,5292,5662,6259,6323,6678
Guinea Ecuatorial,GNQ,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,133,155,178,217,227,232,212,208,207,206,211,269,319,362,369,376,,,175,121,137,129,138,161,189,221,229,193,236,225,264,257,183,248,392,717,578,931,1487,1949,2264,2931,4901,8674,10185,12617,18211,13233,13720,17198,17309,16304,15549,9069,7453,7809,8102,6804,5764,6946,7589,6678
Ecuador,ECU,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,451,371,312,365,436,450,445,454,445,521,465,434,488,579,954,1086,1242,1465,1541,1783,2190,2601,2314,1940,1864,1842,1604,1426,1304,1356,1455,1587,1655,1698,1997,2108,2136,2341,2284,1575,1382,1791,2059,2316,2586,2909,3244,3479,4195,4053,4520,5154,5634,6109,6406,5976,5918,6233,6304,6205,5464,6076,6541,6610
Tuvalu,TUV,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,457,478,522,601,708,656,612,549,546,566,571,634,537,533,567,480,557,600,823,976,1085,1134,1166,1141,1279,1285,1428,1461,1460,1559,1579,1457,1750,2007,2323,2305,2396,2794,3088,2684,3025,3636,3598,3510,3529,3358,3809,4166,4466,5115,4976,5905,5911,6345
Paraguay,PRY,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,153,167,183,190,197,209,214,221,227,238,249,272,308,389,508,562,616,740,883,1149,1457,1793,1680,1710,1319,935,1031,1069,1114,1211,1440,1685,1683,1662,1760,1979,2088,2079,1890,1766,1736,1638,1368,1444,1786,1971,2439,3212,4385,3942,4751,5805,5642,6436,6652,5879,5775,6152,6258,5821,5365,5977,6206,6276
Libia,LBY,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,269,285,382,528,765,1001,1251,1437,1972,2175,2210,2443,2830,3727,6214,5721,7018,7783,7252,9443,11960,10044,9064,8927,7811,8087,6019,6465,5736,5793,6502,7040,7303,6478,5933,5205,5591,6062,5301,6895,7214,6313,3718,4674,5774,8079,10049,11145,13906,9551,11601,7594,14976,11952,8926,7458,7526,9966,11197,9963,6650,4936,5987,6173
Sudáfrica,ZAF,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,532,546,563,605,646,685,722,779,817,891,952,1020,1038,1369,1656,1670,1559,1671,1852,2202,3029,3050,2717,2938,2504,1839,2027,2586,2702,2727,3093,3243,3462,3400,3489,3856,3618,3700,3310,3242,3218,2847,2688,4062,5221,5837,6077,6592,6185,6375,7973,8646,8077,7332,6857,6112,5651,6618,6914,6534,5581,6843,6523,6023
Kosovo,XKX,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2877,2795,2988,3539,3411,3705,3902,3521,3759,4009,4384,4416,4311,5270,5291,5960
Fiji,FJI,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,277,280,285,291,306,311,310,326,327,350,414,458,575,762,984,1188,1186,1204,1355,1627,1873,1879,1773,1628,1667,1577,1745,1569,1463,1543,1729,1775,1951,2070,2297,2467,2648,2574,2010,2328,1996,1945,2137,2656,3097,3378,3455,3763,3900,3164,3449,4140,4341,4572,5293,5098,5364,5827,6085,5951,4844,4696,5405,5889
Mongolia,MNG,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,1235,1325,1430,1490,1120,1138,1469,1493,1543,1684,1220,1099,608,355,423,653,596,515,484,449,476,524,570,643,794,995,1330,1628,2127,1703,2625,3736,4329,4340,4126,3839,3620,3646,4108,4348,4001,4518,4994,5839
Guatemala,GTM,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,257,257,265,284,284,283,287,292,315,326,353,358,370,441,529,595,697,856,925,1026,1142,1216,1204,1220,1241,1238,896,854,919,958,848,1014,1096,1166,1293,1421,1481,1638,1741,1604,1649,1538,1669,1723,1841,2046,2225,2459,2763,2612,2805,3169,3287,3444,3689,3894,4060,4325,4353,4512,4478,4914,5358,5763
Iraq,IRQ,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,219,232,241,236,269,285,298,291,319,320,337,384,394,476,1031,1166,1489,1609,1863,2871,3868,2700,2942,2743,3066,3088,2940,3436,3707,3791,10261,23,30,54,198,619,485,936,901,1560,1980,1436,1266,818,1328,1762,2277,3129,4543,3715,4462,5776,6478,6650,6249,4440,4334,4759,5647,5672,4295,4868,6504,5565
Suriname,SUR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,378,395,409,424,435,482,575,644,681,708,724,768,785,858,1041,1190,1302,1666,1928,2072,2118,2368,2430,2333,2261,2256,2271,2469,2886,1329,942,1080,969,1022,1434,1610,1963,2068,2429,1898,1988,1715,2202,2516,2888,3453,5003,5530,6576,7130,7944,7950,8851,9043,9108,8814,5644,6050,6666,6630,4755,5030,6084,5494
El Salvador,SLV,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,274,282,288,290,293,309,316,329,366,413,457,553,684,712,773,787,752,735,745,763,776,755,777,806,825,892,956,1041,1180,1344,1548,1651,1749,1860,1908,1983,2058,2115,2208,2286,2447,2666,2831,2983,2910,3040,3331,3498,3582,3666,3790,3901,4020,4184,4320,3997,4643,5094,5391
Argelia,DZA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,238,209,170,226,239,254,241,262,292,316,353,360,469,590,873,992,1080,1232,1506,1843,2276,2307,2275,2374,2524,2633,2800,2847,2451,2247,2445,1759,1803,1831,1526,1467,1617,1629,1603,1596,1773,1896,1937,2284,2817,3233,3661,4167,5181,4235,4913,5916,6034,5980,6095,4685,4425,4555,4577,4468,3744,4161,4962,5364
Ucrania,UKR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244,1444,1593,1564,1483,1413,1254,1009,933,870,987,831,632,653,800,903,1076,1401,1875,2366,3160,4018,2607,3040,3657,3951,4130,3055,2094,2158,2604,3059,3620,3710,4776,4200,5070
Indonesia,IDN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,53,65,74,79,79,90,130,201,231,276,331,362,353,487,561,578,508,520,511,470,438,477,524,578,624,674,817,900,1011,1119,1045,455,657,764,732,881,1043,1127,1238,1558,1823,2125,2218,3066,3579,3632,3567,3441,3288,3521,3799,3861,4107,3854,4287,4731,4876
Cabo Verde,CPV,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,440,425,423,410,385,396,541,658,729,727,817,832,908,1220,991,1165,1180,1134,1187,1327,1190,1223,1329,1718,1929,2004,2257,3325,3909,3660,3579,4002,3737,3961,3986,3415,3609,3893,4295,4381,3539,3971,4323,4851
Irán,IRN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,196,200,206,210,222,248,263,284,314,345,377,457,555,851,1409,1532,1954,2243,2101,2352,2368,2393,2845,3397,3395,3634,4064,2513,2234,2125,2138,2194,1957,1038,1168,1550,1915,1790,1709,1740,1650,1881,1891,2209,2672,3132,3619,4688,5377,5416,6291,8026,8114,6223,5672,4953,5477,5753,4632,3831,2989,4335,4405,4466
Jordania,JOR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,546,558,497,409,474,409,412,460,531,651,718,873,1039,1249,1519,1750,1885,1929,1939,1871,1797,2200,2217,1966,1260,1149,1110,1287,1289,1367,1416,1410,1436,1532,1545,1571,1632,1706,1776,1940,2088,2343,2506,3242,3436,3718,3947,4170,4311,4191,4043,3987,4066,4145,4170,4022,4183,4332,4456
Samoa,WSM,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,322,377,433,563,626,610,541,615,671,751,765,713,728,671,655,573,604,666,790,728,744,742,777,775,1277,1288,1419,1608,1506,1417,1425,1454,1528,1798,2189,2550,2663,3039,3374,3279,3524,3822,3935,4024,3983,4084,4147,4308,4232,4352,4100,3948,3869,4330
Viet Nam,VNM,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,239,436,595,405,98,99,144,145,189,230,288,337,362,361,376,404,419,445,497,565,711,808,926,1164,1226,1683,1951,2185,2360,2546,2578,2735,2956,3222,3441,3534,3704,4116,4282
Namibia,NAM,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2468,2267,2097,2214,1830,1466,1599,1969,2063,1967,2037,2117,2347,2155,2356,2483,2423,2460,2235,2178,2157,1916,1772,2569,3403,3686,4017,4379,4205,4303,5418,5835,5943,5347,5378,4774,4396,5144,5309,4732,3879,4413,4349,4168
Túnez,TUN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,201,201,232,228,217,224,228,249,258,280,320,415,493,624,741,752,830,946,1113,1324,1247,1177,1184,1143,1135,1187,1245,1266,1239,1476,1538,1785,1649,1733,1968,2107,2202,2285,2376,2199,2236,2321,2726,3067,3147,3323,3727,4255,4080,4292,4421,4297,4370,4459,4015,3848,3619,3628,3529,3549,3885,3678,3978
Sri Lanka,LKA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,146,146,141,119,123,156,157,162,153,164,187,189,199,220,269,280,260,292,191,231,271,292,312,336,391,385,407,420,434,430,491,546,580,607,678,742,776,827,849,826,846,804,835,946,1029,1207,1390,1579,1974,2027,2808,3225,3328,3741,3972,4060,4150,4401,4361,4083,3846,3999,3343,3828
Filipinas,PHL,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,269,284,167,179,188,200,214,223,242,261,201,217,230,283,379,401,449,502,565,667,767,821,833,723,665,633,600,650,722,792,804,804,917,919,1060,1200,1311,1273,983,1101,1051,970,1015,1027,1100,1220,1426,1713,1959,1864,2163,2384,2615,2781,2867,2910,2985,3038,3169,3401,3228,3484,3548,3805
Marruecos,MAR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,175,169,194,211,216,222,211,217,227,247,260,279,317,381,457,522,543,611,713,835,1110,884,857,767,682,673,855,937,1086,1091,1229,1292,1327,1226,1359,1467,1597,1426,1668,1636,1499,1506,1596,1942,2184,2243,2438,2756,3183,3120,3068,3302,3164,3380,3435,3146,3141,3297,3502,3508,3268,3786,3455,3771
Bolivia,BOL,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,101,107,115,121,134,146,158,174,194,205,219,231,268,257,418,468,520,600,683,801,773,981,931,880,982,838,604,650,673,675,683,734,760,757,774,853,922,970,1022,979,976,930,888,893,953,1020,1203,1355,1693,1731,1930,2316,2576,2870,3041,2996,3036,3306,3501,3504,3100,3385,3644,3686
Eswatini,SWZ,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,102,122,127,146,172,181,193,183,190,245,254,301,315,463,536,568,521,563,610,714,908,925,843,843,726,510,611,765,865,832,1278,1273,1362,1397,1461,1751,1619,1705,1547,1502,1669,1468,1352,2060,2581,2945,3035,3181,3000,3240,3993,4312,4348,3910,3741,3394,3224,3831,3986,3894,3442,3926,3852,3611
Djibouti,DJI,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,847,,822,817,782,780,733,764,759,785,786,762,748,735,740,738,742,743,765,806,844,898,970,1119,1151,1213,1306,1400,2074,2209,2376,2510,2619,2718,2837,2882,3020,3231,3555
Vanuatu,VUT,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,1055,1048,962,946,947,1137,1012,946,1017,1125,1067,1141,1326,1344,1257,1431,1492,1529,1562,1471,1472,1460,1350,1341,1567,1774,1874,2035,2334,2604,2546,2815,3163,3005,2980,2968,2747,2870,3160,3207,3207,3043,3107,3265,3515
Egipto,EGY,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,156,163,142,144,158,162,168,174,180,193,232,243,256,272,243,299,335,353,355,421,493,490,596,648,690,770,790,754,634,701,736,623,681,740,807,916,1009,1146,1213,1268,1366,1295,1117,1031,991,1105,1299,1548,1896,2162,2455,2591,2996,3026,3133,3307,3271,2395,2485,2963,3511,3827,4233,3457
